"","Cod","No_TotalPR"
"1","021801000100100002A",0.0215743911976484
"2","021801000100100002B",0.0161807933982363
"3","021801000100100002C",0.0323615867964726
"4","021801000100100002E",0.0296647878967665
"5","021801000100100002F",0.0242711900973544
"6","021801000100100002J",0.0161807933982363
"7","021801000100100002K",0.0215743911976484
"8","021801000100100002L",0.0188775922979423
"9","021801000100100002M",0.0323615867964726
"10","021801000100100002N",0.0377551845958847
"11","021801000100100002P",0.0269679889970605
"12","021801000100100002T",0.0296647878967665
"13","021801000100100002U",0.0512391790944149
"14","021801000100100002V",0.0242711900973544
"15","021801000100100003",0.0134839944985302
"16","021801000100100003B",0.0242711900973544
"17","021801000100100003C",0.0296647878967665
"18","021801000100100003D",0.0269679889970605
"19","021801000100100003E",0.0215743911976484
"20","021801000100100003F",0.0350583856961786
"21","021801000100100003G",0.0134839944985302
"22","021801000100100003H",0.0188775922979423
"23","021801000100100003I",0.0350583856961786
"24","021801000100100003J",0.0404519834955907
"25","021801000100100003K",0.0215743911976484
"26","021801000100100004",0.0188775922979423
"27","021801000100100004A",0.0188775922979423
"28","021801000100100005",0.0107871955988242
"29","021801000100100006",0.00809039669911815
"30","021801000100100008",0.0161807933982363
"31","021801000100100009A",0.0107871955988242
"32","021801000100100010A",0.0215743911976484
"33","021801000100100011",0.0161807933982363
"34","021801000100100013",0.0242711900973544
"35","021801000100100014",0.0215743911976484
"36","021801000100100014A",0.0269679889970605
"37","021801000100100016",0.00809039669911815
"38","021801000100100017",0.0296647878967665
"39","021801000100100017A",0.0242711900973544
"40","021801000100100019",0.0107871955988242
"41","021801000100100020",0.00809039669911815
"42","021801000100100020B",0.0485423801947089
"43","021801000100100021",0.00809039669911815
"44","021801000100100022",0.0242711900973544
"45","021801000100100023",0.0296647878967665
"46","021801000100100024",0.0134839944985302
"47","021801000100100025",0.0161807933982363
"48","021801000100100027B",0.0134839944985302
"49","021801000100100028A",0.0134839944985302
"50","021801000100100028C",0.0377551845958847
"51","021801000100100028D",0.0188775922979423
"52","021801000100100028E",0.0269679889970605
"53","021801000100100028F",0.0269679889970605
"54","021801000100100028G",0.0485423801947089
"55","021801000100100029",0.0350583856961786
"56","021801000100100029A",0.0350583856961786
"57","021801000100100030",0.0053935977994121
"58","021801000100100031",0.0107871955988242
"59","021801000100100032",0.0188775922979423
"60","021801000100100033",0.0107871955988242
"61","021801000100100034A",0.0161807933982363
"62","021801000100100035A",0.0107871955988242
"63","021801000100100036",0.0215743911976484
"64","021801000100100037",0.0107871955988242
"65","021801000100100038",0
"66","021801000100100039",0.0242711900973544
"67","021801000100100041A",0.0269679889970605
"68","021801000100100041D",0.0269679889970605
"69","021801000100100041E",0.0404519834955907
"70","021801000100100041F",0.0188775922979423
"71","021801000100100042",0.00809039669911815
"72","021801000100100043A",0.0269679889970605
"73","021801000100100044",0.0242711900973544
"74","021801000100100045B",0.0161807933982363
"75","021801000100100046",0.0161807933982363
"76","021801000100100047",0.0296647878967665
"77","021801000100100048",0.0269679889970605
"78","021801000100100049",0.0242711900973544
"79","021801000100100050A",0.0215743911976484
"80","021801000100100051A",0.0215743911976484
"81","021801000100100052",0.0134839944985302
"82","021801000100100053A",0.0323615867964726
"83","021801000100100054",0.0107871955988242
"84","021801000100100055",0.00809039669911815
"85","021801000100100056",0.00809039669911815
"86","021801000100100057A",0.0134839944985302
"87","021801000100100058",0.0269679889970605
"88","021801000100100060",0.0269679889970605
"89","0218010001001008888",0.0782071680914754
"90","021801000100101001",0.056632776893827
"91","021801000100101003",0.0377551845958847
"92","021801000100101004",0.0350583856961786
"93","021801000100101009",0.0296647878967665
"94","021801000100101010",0.0242711900973544
"95","021801000100101011",0.0431487823952968
"96","021801000100101012",0.0458455812950028
"97","021801000100101013",0.0647231735929452
"98","021801000100101014",0.0512391790944149
"99","021801000100101015",0.0458455812950028
"100","021801000100101016",0.0242711900973544
"101","021801000100101017",0.0377551845958847
"102","021801000100101018",0.0269679889970605
"103","021801000100101019",0.0458455812950028
"104","021801000100101020",0.0242711900973544
"105","0218010001001018888",0.0107871955988242
"106","021801000100102017",0.0323615867964726
"107","021801000100102018",0.0485423801947089
"108","021801000100102018A",0.0512391790944149
"109","021801000100102019",0.0485423801947089
"110","021801000100102021",0.0377551845958847
"111","021801000100102022",0.0404519834955907
"112","021801000100102024",0.053935977994121
"113","021801000100102025",0.0350583856961786
"114","021801000100102027",0.0404519834955907
"115","021801000100102031",0.053935977994121
"116","021801000100102035",0.0350583856961786
"117","021801000100102036",0.0323615867964726
"118","021801000100102040",0.0620263746932391
"119","021801000100102041",0.0620263746932391
"120","021801000100102042",0.0188775922979423
"121","021801000100102043",0.0188775922979423
"122","021801000100102043A",0.0404519834955907
"123","021801000100102043B",0.0674199724926512
"124","021801000100102043C",0.0404519834955907
"125","021801000100102044",0.0431487823952968
"126","021801000100102044A",0.0431487823952968
"127","021801000100102044B",0.0377551845958847
"128","021801000100102044C",0.056632776893827
"129","021801000100102044D",0.053935977994121
"130","021801000100102044E",0.0377551845958847
"131","021801000100102044F",0.0404519834955907
"132","021801000100102044G",0.0323615867964726
"133","0218010001001028888",0.0728135702920633
"134","021801000100103011",0.0485423801947089
"135","021801000100103017",0.0215743911976484
"136","021801000100103018",0.0431487823952968
"137","021801000100103020",0.0296647878967665
"138","0218010001001038888",0.248105498772957
"139","021801000100200001A",0.0161807933982363
"140","021801000100200001D",0.0215743911976484
"141","021801000100200001E",0.0431487823952968
"142","021801000100200001F",0.056632776893827
"143","021801000100200001G",0.0458455812950028
"144","021801000100200001H",0.0431487823952968
"145","021801000100200001J",0.0377551845958847
"146","021801000100200001K",0.0350583856961786
"147","021801000100200001L",0.0269679889970605
"148","021801000100200002",0.0107871955988242
