"","Cod","Hacin"
"1","021801000100100002A",0.526666666666667
"2","021801000100100002B",1.08620689655172
"3","021801000100100002C",1.24590163934426
"4","021801000100100002E",1.36
"5","021801000100100002F",1.375
"6","021801000100100002J",1.19230769230769
"7","021801000100100002K",1.17241379310345
"8","021801000100100002L",1.02439024390244
"9","021801000100100002M",1.0952380952381
"10","021801000100100002N",0.911111111111111
"11","021801000100100002P",1.18181818181818
"12","021801000100100002T",1.27272727272727
"13","021801000100100002U",1.33333333333333
"14","021801000100100002V",1.71428571428571
"15","021801000100100003",1.44186046511628
"16","021801000100100003B",1.18604651162791
"17","021801000100100003C",1.80487804878049
"18","021801000100100003D",1.51162790697674
"19","021801000100100003E",2
"20","021801000100100003F",1.03703703703704
"21","021801000100100003G",1.38461538461538
"22","021801000100100003H",1.65625
"23","021801000100100003I",1.76923076923077
"24","021801000100100003J",1.60975609756098
"25","021801000100100003K",1.53488372093023
"26","021801000100100004",1.39130434782609
"27","021801000100100004A",1.42424242424242
"28","021801000100100005",1.3125
"29","021801000100100006",1.44736842105263
"30","021801000100100008",1.14285714285714
"31","021801000100100009A",1.34042553191489
"32","021801000100100010A",1.59574468085106
"33","021801000100100011",1.34375
"34","021801000100100013",1.7037037037037
"35","021801000100100014",1.66666666666667
"36","021801000100100014A",1.28
"37","021801000100100016",1.29411764705882
"38","021801000100100017",1.52083333333333
"39","021801000100100017A",1.57894736842105
"40","021801000100100019",1.33333333333333
"41","021801000100100020",1.01639344262295
"42","021801000100100020B",1.46376811594203
"43","021801000100100021",1.22727272727273
"44","021801000100100022",1.32608695652174
"45","021801000100100023",1.18367346938776
"46","021801000100100024",1.5
"47","021801000100100025",0.857142857142857
"48","021801000100100027B",1.48717948717949
"49","021801000100100028A",1.36111111111111
"50","021801000100100028C",1.84375
"51","021801000100100028D",1.36842105263158
"52","021801000100100028E",1.69565217391304
"53","021801000100100028F",1.54545454545455
"54","021801000100100028G",1.61363636363636
"55","021801000100100029",1.5
"56","021801000100100029A",1.78378378378378
"57","021801000100100030",1.44444444444444
"58","021801000100100031",0.830188679245283
"59","021801000100100032",1.61764705882353
"60","021801000100100033",1.77777777777778
"61","021801000100100034A",1.23529411764706
"62","021801000100100035A",1.08
"63","021801000100100036",0.903225806451613
"64","021801000100100037",0.846153846153846
"65","021801000100100038",1
"66","021801000100100039",1.35211267605634
"67","021801000100100041A",1
"68","021801000100100041D",2
"69","021801000100100041E",1.5
"70","021801000100100041F",1.4
"71","021801000100100042",1.93103448275862
"72","021801000100100043A",1.53658536585366
"73","021801000100100044",1.75471698113208
"74","021801000100100045B",1.05769230769231
"75","021801000100100046",0.953125
"76","021801000100100047",1.21212121212121
"77","021801000100100048",1.38636363636364
"78","021801000100100049",1.63934426229508
"79","021801000100100050A",1.1875
"80","021801000100100051A",1.31481481481481
"81","021801000100100052",1.53488372093023
"82","021801000100100053A",1.32608695652174
"83","021801000100100054",1.05660377358491
"84","021801000100100055",1.38775510204082
"85","021801000100100056",1.28571428571429
"86","021801000100100057A",1.11904761904762
"87","021801000100100058",1.16129032258065
"88","021801000100100060",1.84615384615385
"89","0218010001001008888",1.32089552238806
"90","021801000100101001",1.23529411764706
"91","021801000100101003",1.13725490196078
