"","Cod","AguaSI_PR"
"1","021809000100100001E",34.0425531914894
"2","021809000100100001F",64.5161290322581
"3","021809000100100001L",30.5555555555556
"4","021809000100100001N",13.7931034482759
"5","021809000100100001V",27.2727272727273
"6","021809000100100001Y",0
"7","021809000100100001Z",0
"8","021809000100100002D",80
"9","021809000100100003",100
"10","021809000100100004",100
"11","021809000100100005A",81.8181818181818
"12","021809000100100006E",93.3333333333333
"13","021809000100100006F",0
"14","021809000100100007D",100
"15","021809000100100009",100
"16","021809000100100010A",96.2962962962963
"17","021809000100100012A",100
"18","021809000100100012B",100
"19","021809000100100012C",100
"20","021809000100100012F",54.5454545454545
"21","021809000100100012J",9.09090909090909
"22","021809000100100012K",4
"23","021809000100100012M",0
"24","021809000100100012N",0
"25","021809000100100012O",0
"26","021809000100100012R",12.5
"27","021809000100100013",85.1851851851852
"28","021809000100100013D",16.6666666666667
"29","021809000100100013E",6.66666666666667
"30","021809000100100014",100
"31","021809000100100015A",100
"32","021809000100100016A",100
"33","021809000100100016B",100
"34","021809000100100016D",0
"35","021809000100100017A",50
"36","021809000100100018A",90.9090909090909
"37","021809000100100018C",85.7142857142857
"38","021809000100100018F",0
"39","021809000100100018G",0
"40","021809000100100018R",34.7826086956522
"41","021809000100100018T",0
"42","021809000100100020",94.7368421052632
"43","021809000100100021",100
"44","021809000100100022",100
"45","021809000100100023",100
"46","021809000100100024",100
"47","021809000100100025",100
"48","021809000100100027",100
"49","021809000100100028",90.3225806451613
"50","021809000100100029",100
"51","021809000100100030",93.9393939393939
"52","021809000100100031A",100
"53","021809000100100032",100
"54","021809000100100033B",100
"55","021809000100100034",100
"56","021809000100100035",100
"57","021809000100100036",92.8571428571429
"58","021809000100100037",100
"59","021809000100100039",100
"60","021809000100100040",100
"61","021809000100100041E",50
"62","021809000100100042C",45
"63","021809000100100044",95.4545454545455
"64","021809000100100045",100
"65","021809000100100046",100
"66","021809000100100047A",100
"67","021809000100100049",97.5
"68","021809000100100050A",100
"69","021809000100100052",100
"70","021809000100100053",100
"71","021809000100100054",100
"72","021809000100100055",100
"73","021809000100100056",100
"74","021809000100100057",95.6521739130435
"75","021809000100100058",100
"76","021809000100100059",100
"77","021809000100100060",100
"78","021809000100100061",15
"79","0218090001001008888",29.6296296296296
"80","021809000100200001",54.5454545454545
"81","021809000100200002",100
"82","021809000100200003",100
"83","021809000100200004",100
"84","021809000100200005A",100
"85","021809000100200006A",100
"86","021809000100200007A",75.4098360655738
"87","021809000100200008A",100
"88","021809000100200009A",100
"89","021809000100200010",100
"90","021809000100200011",100
"91","021809000100200012",100
"92","021809000100200013",100
"93","021809000100200014",100
"94","021809000100200015",97.4358974358974
"95","021809000100200016",94.7368421052632
"96","021809000100200017",90.625
"97","021809000100200018",100
"98","021809000100200019A",100
"99","021809000100200021",100
"100","021809000100200022",100
"101","021809000100200024A",100
"102","021809000100200025",100
"103","021809000100200028",100
"104","021809000100200029B",90
"105","021809000100200031B",0
"106","021809000100200033A",100
"107","021809000100200034",46.1538461538462
"108","021809000100200035C",100
"109","021809000100200036A",10
"110","021809000100200036B",37.5
"111","021809000100200037",100
"112","021809000100200038A",100
"113","021809000100200038B",62.5
"114","021809000100200038C",50
"115","021809000100200040",100
"116","021809000100200043",100
"117","021809000100200044",100
"118","021809000100200045",100
"119","021809000100200046A",100
"120","021809000100200047A",100
"121","021809000100200048B",100
"122","021809000100200048C",100
"123","021809000100200049A",100
"124","021809000100200054A",100
"125","021809000100200056B",100
"126","021809000100200056E",100
"127","021809000100200058",100
"128","0218090001002008888",97.7272727272727
"129","021809000100300001A",96
"130","021809000100300002",100
"131","021809000100300003",77.2727272727273
"132","021809000100300004A",100
"133","021809000100300004B",100
"134","021809000100300006",100
"135","021809000100300007A",100
"136","021809000100300008A",85
"137","021809000100300009A",100
"138","021809000100300012",100
"139","021809000100300013",100
"140","021809000100300014",100
"141","021809000100300015",100
"142","021809000100300016",100
"143","021809000100300017",100
"144","021809000100300019A",100
"145","021809000100300020",100
"146","021809000100300021A",100
"147","021809000100300022A",100
"148","021809000100300023A",100
"149","021809000100300024A",100
"150","021809000100300025A",100
"151","021809000100300025C",100
"152","021809000100300025E",100
"153","021809000100300025H",94.1176470588235
"154","021809000100300027C",86.9565217391304
"155","021809000100300027F",100
"156","021809000100300028",80
"157","021809000100300030",100
"158","021809000100300031",100
"159","021809000100300032",100
"160","021809000100300034",100
"161","021809000100300035",100
"162","021809000100300037",100
"163","021809000100300039",94.7368421052632
"164","021809000100300040A",100
"165","021809000100300041",100
"166","021809000100300043",100
"167","021809000100300046",100
"168","021809000100300047",100
"169","021809000100300048",100
"170","021809000100300049",100
"171","021809000100300051",100
"172","021809000100300051A",54.1666666666667
"173","021809000100300051D",80
"174","021809000100300053",100
"175","021809000100300054",100
"176","021809000100300055",100
"177","021809000100300056",100
"178","021809000100300059",100
"179","021809000100300061",96
"180","021809000100300062",100
"181","0218090001003008888",90.3225806451613
"182","021809000100400002",100
"183","021809000100400003",100
"184","021809000100400004",100
"185","021809000100400005",100
"186","021809000100400006",100
"187","021809000100400007A",100
"188","021809000100400008A",100
"189","021809000100400009",100
"190","021809000100400010",100
"191","021809000100400012",100
"192","021809000100400013",100
"193","021809000100400014",93.75
"194","021809000100400016",90
"195","021809000100400017A",100
"196","021809000100400017B",100
"197","021809000100400018A",100
"198","021809000100400019",100
"199","021809000100400022A",100
"200","021809000100400024",100
"201","021809000100400025",100
"202","021809000100400028",100
"203","021809000100400029",100
