"","ID","Mz"
"1",1,"021809000100500060U"
"2",2,"021809000100500060T"
"3",3,"021809000100500062"
"4",4,"021809000100500060S"
"5",5,"021809000100500060V"
"6",6,"021809000100500060R"
"7",7,"021809000100500061"
"8",8,"021809000100500060Q"
"9",9,"021809000100500060P"
"10",10,"021809000100500060I"
"11",11,"021809000100500060O"
"12",12,"021809000100500060G"
"13",13,"021809000100500060"
"14",14,"021809000100502001"
"15",15,"021809000100502002"
"16",16,"021809000100502003"
"17",17,"021809000100502004"
"18",18,"021809000100502005"
"19",19,"021809000100502006"
"20",20,"021809000100502007"
"21",21,"021809000100502008"
"22",22,"021809000100502009"
"23",23,"021809000100502010"
"24",24,"021809000100502011"
"25",25,"021809000100502012"
"26",26,"021809000100502013"
"27",27,"021809000100502014"
"28",28,"021809000100502016"
"29",29,"021809000100502017"
"30",30,"021809000100502019"
"31",31,"021809000100502020"
"32",32,"021809000100502022"
"33",33,"021809000100502023"
"34",34,"021809000100502024"
"35",35,"021809000100502025"
"36",36,"021809000100502021"
"37",37,"021809000100502018"
"38",38,"021809000100502015"
"39",39,"021809000100502039"
"40",40,"021809000100502038"
"41",41,"021809000100502033"
"42",42,"021809000100502032"
"43",43,"021809000100502040"
"44",44,"021809000100502041"
"45",45,"021809000100502037"
"46",46,"021809000100502036"
"47",47,"021809000100502035"
"48",48,"021809000100502034"
"49",49,"021809000100502031"
"50",50,"021809000100502055"
"51",51,"021809000100502056"
"52",52,"021809000100502054"
"53",53,"021809000100502053"
"54",54,"021809000100502052"
"55",55,"021809000100502051B"
"56",56,"021809000100502050"
"57",57,"021809000100502048"
"58",58,"021809000100502047"
"59",59,"021809000100502046"
"60",60,"021809000100502042"
"61",61,"021809000100502043"
"62",62,"021809000100502044"
"63",63,"021809000100502045"
"64",64,"021809000100502049"
"65",65,"021809000100503001"
"66",66,"021809000100503002"
"67",67,"021809000100503003"
"68",68,"021809000100503005"
"69",69,"021809000100503006"
"70",70,"021809000100503007"
"71",71,"021809000100503008"
"72",72,"021809000100503009"
"73",73,"021809000100503010"
"74",74,"021809000100503012"
"75",75,"021809000100503011"
"76",76,"021809000100503013"
"77",77,"021809000100503014"
"78",78,"021809000100503015"
"79",79,"021809000100503016"
"80",80,"021809000100503017"
"81",81,"021809000100503018"
"82",82,"021809000100503019A"
"83",83,"021809000100503021"
"84",84,"021809000100503022"
"85",85,"021809000100503025"
"86",86,"021809000100503023"
"87",87,"021809000100503024"
"88",88,"021809000100503027"
"89",89,"021809000100503026"
"90",90,"021809000100503029"
"91",91,"021809000100503028"
"92",92,"021809000100503030"
"93",93,"021809000100503033"
"94",94,"021809000100503034"
"95",95,"021809000100503031"
"96",96,"021809000100503032"
"97",97,"021809000100503035"
"98",98,"021809000100503036"
"99",99,"021809000100503037"
"100",100,"021809000100503040"
"101",101,"021809000100503041"
"102",102,"021809000100503039"
"103",103,"021809000100503038"
"104",104,"021809000100503042"
"105",105,"021809000100503044"
"106",106,"021809000100503043"
"107",107,"021809000100503045"
"108",108,"021809000100503046"
"109",109,"021809000100503047"
"110",110,"021809000100300051B"
"111",111,"021809000100400058B"
"112",112,"021809000100500019A"
"113",113,"021809000100503015B"
"114",114,"021809000100503015A"
"115",115,"021809000100503015C"
"116",116,"021809000100400010"
"117",117,"021809000100400011"
"118",118,"021809000100400039"
"119",119,"021809000100500007"
"120",120,"021809000100500006"
"121",121,"021809000100500003"
"122",122,"021809000100500004"
"123",123,"021809000100500005"
"124",124,"021809000100500009"
"125",125,"021809000100500012"
"126",126,"021809000100400059"
"127",127,"021809000100500052"
"128",128,"021809000100500050"
"129",129,"021809000100500049"
"130",130,"021809000100500051"
"131",131,"021809000100100053"
"132",132,"021809000100100054"
"133",133,"021809000100100055"
"134",134,"021809000100100056"
"135",135,"021809000100100057"
"136",136,"021809000100100059"
"137",137,"021809000100100009"
"138",138,"021809000100200002"
"139",139,"021809000100200003"
"140",140,"021809000100200004"
"141",141,"021809000100300059"
"142",142,"021809000100300060"
"143",143,"021809000100300061"
"144",144,"021809000100300062"
"145",145,"021809000100300044A"
"146",146,"021809000100400057K"
"147",147,"021809000100400057J"
"148",148,"021809000100400002A"
"149",149,"021809000100400058"
"150",150,"021809000100400058A"
"151",151,"021809000100500020B"
"152",152,"021809000100500020A"
"153",153,"021809000100500047A"
"154",154,"021809000100500059A"
"155",155,"021809000100501001"
"156",156,"021809000100501002"
"157",157,"021809000100501003"
"158",158,"021809000100501004"
"159",159,"021809000100501005"
"160",160,"021809000100501006"
"161",161,"021809000100501007"
"162",162,"021809000100500008"
"163",163,"021809000100500042"
"164",164,"021809000100500011"
"165",165,"021809000100500043"
"166",166,"021809000100500035"
"167",167,"021809000100500027"
"168",168,"021809000100500029"
"169",169,"021809000100500028"
"170",170,"021809000100500030"
"171",171,"021809000100500031"
"172",172,"021809000100500024"
"173",173,"021809000100500021A"
"174",174,"021809000100500021C"
"175",175,"021809000100500014"
"176",176,"021809000100500018"
"177",177,"021809000100500017A"
"178",178,"021809000100500016C"
"179",179,"021809000100500015"
"180",180,"021809000100500040A"
"181",181,"021809000100500053"
"182",182,"021809000100500039"
"183",183,"021809000100500038A"
"184",184,"021809000100500037"
"185",185,"021809000100500036"
"186",186,"021809000100500057A"
"187",187,"021809000100500056"
"188",188,"021809000100500055"
"189",189,"021809000100500059B"
"190",190,"021809000100500034"
"191",191,"021809000100500023"
"192",192,"021809000100500023B"
"193",193,"021809000100500023A"
"194",194,"021809000100502030"
"195",195,"021809000100502029"
"196",196,"021809000100502028"
"197",197,"021809000100502027"
"198",198,"021809000100100047A"
"199",199,"021809000100100049"
"200",200,"021809000100100050A"
"201",201,"021809000100100052"
"202",202,"021809000100200029C"
"203",203,"021809000100200029B"
"204",204,"021809000100200033A"
"205",205,"021809000100300025C"
"206",206,"021809000100400017B"
"207",207,"021809000100100002D"
"208",208,"021809000100100003"
"209",209,"021809000100100004"
"210",210,"021809000100100005A"
"211",211,"021809000100100006E"
"212",212,"021809000100100010A"
"213",213,"021809000100100012C"
"214",214,"021809000100100012B"
"215",215,"021809000100100013"
"216",216,"021809000100100014"
"217",217,"021809000100100012A"
"218",218,"021809000100100013A"
"219",219,"021809000100100015A"
"220",220,"021809000100100016A"
"221",221,"021809000100100016B"
"222",222,"021809000100100016D"
"223",223,"021809000100400002"
"224",224,"021809000100400004"
"225",225,"021809000100400005"
"226",226,"021809000100400003"
"227",227,"021809000100400006"
"228",228,"021809000100400007A"
"229",229,"021809000100400025"
"230",230,"021809000100400024"
"231",231,"021809000100400023"
"232",232,"021809000100400026"
"233",233,"021809000100400029"
"234",234,"021809000100400030"
"235",235,"021809000100400033"
"236",236,"021809000100400020"
"237",237,"021809000100400022A"
"238",238,"021809000100400019"
"239",239,"021809000100400008A"
"240",240,"021809000100400017A"
"241",241,"021809000100400018A"
"242",242,"021809000100400016"
"243",243,"021809000100400009"
"244",244,"021809000100400015"
"245",245,"021809000100400034B"
"246",246,"021809000100400032"
"247",247,"021809000100400031"
"248",248,"021809000100400027"
"249",249,"021809000100400028"
"250",250,"021809000100500045"
"251",251,"021809000100500046"
"252",252,"021809000100500044"
"253",253,"021809000100500047"
"254",254,"021809000100500048"
"255",255,"021809000100500041"
"256",256,"021809000100100001V"
"257",257,"021809000100100001N"
"258",258,"021809000100100001Y"
"259",259,"021809000100100001X"
"260",260,"021809000100200017"
"261",261,"021809000100400046"
"262",262,"021809000100400040"
"263",263,"021809000100400014"
"264",264,"021809000100400012"
"265",265,"021809000100400013"
"266",266,"021809000100400038"
"267",267,"021809000100500013"
"268",268,"021809000100500019"
"269",269,"021809000100200008A"
"270",270,"021809000100200009A"
"271",271,"021809000100200010"
"272",272,"021809000100200011"
"273",273,"021809000100200012"
"274",274,"021809000100200013"
"275",275,"021809000100200014"
"276",276,"021809000100200015"
"277",277,"021809000100200016"
"278",278,"021809000100100001F"
"279",279,"021809000100100001E"
"280",280,"021809000100100006F"
"281",281,"021809000100100007D"
"282",282,"021809000100100012G"
"283",283,"021809000100100012F"
"284",284,"021809000100300043"
"285",285,"021809000100300046"
"286",286,"021809000100300047"
"287",287,"021809000100300048"
"288",288,"021809000100100058A"
"289",289,"021809000100100058"
"290",290,"021809000100100031B"
"291",291,"021809000100100031A"
"292",292,"021809000100200056C"
"293",293,"021809000100200056E"
"294",294,"021809000100300049"
"295",295,"021809000100300050B"
"296",296,"021809000100300051"
"297",297,"021809000100300051A"
"298",298,"021809000100300053"
"299",299,"021809000100300054"
"300",300,"021809000100300055"
"301",301,"021809000100300056"
"302",302,"021809000100300058"
"303",303,"021809000100100018R"
"304",304,"021809000100100020"
"305",305,"021809000100100021"
"306",306,"021809000100100022"
"307",307,"021809000100100023"
"308",308,"021809000100100024"
"309",309,"021809000100100025"
"310",310,"021809000100100026"
"311",311,"021809000100100027"
"312",312,"021809000100100028"
"313",313,"021809000100100029"
"314",314,"021809000100100030"
"315",315,"021809000100100032"
"316",316,"021809000100100033B"
"317",317,"021809000100100034"
"318",318,"021809000100100035"
"319",319,"021809000100100036"
"320",320,"021809000100100037"
"321",321,"021809000100200022"
"322",322,"021809000100200023"
"323",323,"021809000100200024A"
"324",324,"021809000100200025"
"325",325,"021809000100200026"
"326",326,"021809000100200027"
"327",327,"021809000100200028"
"328",328,"021809000100200029A"
"329",329,"021809000100200031A"
"330",330,"021809000100200038A"
"331",331,"021809000100200039"
"332",332,"021809000100200040"
"333",333,"021809000100501008"
"334",334,"021809000100501009"
"335",335,"021809000100501010"
"336",336,"021809000100501011"
"337",337,"021809000100501012"
"338",338,"021809000100501013"
"339",339,"021809000100501014"
"340",340,"021809000100501015"
"341",341,"021809000100300001A"
"342",342,"021809000100300002"
"343",343,"021809000100300003"
"344",344,"021809000100300005"
"345",345,"021809000100501016"
"346",346,"021809000100501017"
"347",347,"021809000100501018"
"348",348,"021809000100501019"
"349",349,"021809000100501020"
"350",350,"021809000100400057G"
"351",351,"021809000100400057M"
"352",352,"021809000100400057H"
"353",353,"021809000100400057I"
"354",354,"021809000100400057L"
"355",355,"021809000100400056C"
"356",356,"021809000100400056D"
"357",357,"021809000100400055F"
"358",358,"021809000100400055G"
"359",359,"021809000100400055H"
"360",360,"021809000100400055I"
"361",361,"021809000100400055J"
"362",362,"021809000100400055E"
"363",363,"021809000100400055D"
"364",364,"021809000100400055C"
"365",365,"021809000100400055B"
"366",366,"021809000100400055A"
"367",367,"021809000100400051"
"368",368,"021809000100400054"
"369",369,"021809000100400052"
"370",370,"021809000100501022"
"371",371,"021809000100501021"
"372",372,"021809000100400053"
"373",373,"021809000100400048"
"374",374,"021809000100300008A"
"375",375,"021809000100300009A"
"376",376,"021809000100300013"
"377",377,"021809000100300014"
"378",378,"021809000100300015"
"379",379,"021809000100300016"
"380",380,"021809000100300017"
"381",381,"021809000100300018"
"382",382,"021809000100300019A"
"383",383,"021809000100300020"
"384",384,"021809000100300021A"
"385",385,"021809000100300022A"
"386",386,"021809000100300023A"
"387",387,"021809000100300024A"
"388",388,"021809000100300039"
"389",389,"021809000100300040A"
"390",390,"021809000100300041"
"391",391,"021809000100300042A"
"392",392,"021809000100400049"
"393",393,"021809000100400050B"
"394",394,"021809000100400035"
"395",395,"021809000100400036"
"396",396,"021809000100400037"
"397",397,"021809000100400042"
"398",398,"021809000100400043"
"399",399,"021809000100400045"
"400",400,"021809000100400047"
"401",401,"021809000100400044"
"402",402,"021809000100501023"
"403",403,"021809000100501024"
"404",404,"021809000100501025A"
"405",405,"021809000100501026"
"406",406,"021809000100501027"
"407",407,"021809000100400041"
"408",408,"021809000100300007A"
"409",409,"021809000100501030"
"410",410,"021809000100501029"
"411",411,"021809000100501028"
"412",412,"021809000100501031A"
"413",413,"021809000100501033"
"414",414,"021809000100501035"
"415",415,"021809000100501034"
"416",416,"021809000100501037"
"417",417,"021809000100501036"
"418",418,"021809000100501038"
"419",419,"021809000100501039"
"420",420,"021809000100501040"
"421",421,"021809000100501041"
"422",422,"021809000100501042"
"423",423,"021809000100200042"
"424",424,"021809000100200043"
"425",425,"021809000100200044"
"426",426,"021809000100200045"
"427",427,"021809000100200046A"
"428",428,"021809000100300027C"
"429",429,"021809000100300029C"
"430",430,"021809000100300030"
"431",431,"021809000100300031"
"432",432,"021809000100300032"
"433",433,"021809000100300033"
"434",434,"021809000100300035"
"435",435,"021809000100300036A"
"436",436,"021809000100300037"
"437",437,"021809000100300038"
"438",438,"021809000100501043"
"439",439,"021809000100501044"
"440",440,"021809000100501046"
"441",441,"021809000100500002A"
"442",442,"021809000100500002"
"443",443,"021809000100500010"
"444",444,"021809000100500010A"
"445",445,"021809000100501047"
"446",446,"021809000100501048"
"447",447,"021809000100501049"
"448",448,"021809000100501055"
"449",449,"021809000100501053"
"450",450,"021809000100501054"
"451",451,"021809000100501050"
"452",452,"021809000100501052"
"453",453,"021809000100501051"
"454",454,"021809000100100038"
"455",455,"021809000100100039"
"456",456,"021809000100100040"
"457",457,"021809000100100041E"
"458",458,"021809000100100044"
"459",459,"021809000100100045"
"460",460,"021809000100100046"
"461",461,"021809000100200019C"
"462",462,"021809000100200019A"
"463",463,"021809000100200018"
"464",464,"021809000100200020"
"465",465,"021809000100200021"
"466",466,"021809000100500021B"
"467",467,"021809000100100017A"
"468",468,"021809000100100018A"
"469",469,"021809000100100018B"
"470",470,"021809000100100018C"
"471",471,"021809000100500025A"
"472",472,"021809000100500025"
"473",473,"021809000100500032A"
"474",474,"021809000100500032"
"475",475,"021809000100500058"
"476",476,"021809000100500058A"
"477",477,"021809000100500054A"
"478",478,"021809000100500054"
"479",479,"021809000100200005A"
"480",480,"021809000100200006A"
"481",481,"021809000100300006"
"482",482,"021809000100300004C"
"483",483,"021809000100300004B"
"484",484,"021809000100200047A"
"485",485,"021809000100200048B"
"486",486,"021809000100200049A"
"487",487,"021809000100200050A"
"488",488,"021809000100200051A"
"489",489,"021809000100200053B"
"490",490,"021809000100200054A"
"491",491,"021809000100200056D"
"492",492,"021809000100200056B"
"493",493,"021809000100200058"
