"","IDPROV","PROVINCIA","Muertes","POB2017","MuertesPond"
"1","101","CHACHAPOYAS",228,55506,410.76640363204
"2","102","BAGUA",390,74100,526.315789473684
"3","103","BONGARA",62,25637,241.837968561064
"4","104","CONDORCANQUI",91,42470,214.268895691076
"5","105","LUYA",74,44436,166.531641011792
"6","106","RODRIGUEZ DE MENDOZA",47,29998,156.677111807454
"7","107","UTCUBAMBA",281,107237,262.036423995449
"8","201","HUARAZ",996,163936,607.554167479992
"9","202","AIJA",16,6316,253.324889170361
"10","203","ANTONIO RAIMONDI",28,13650,205.128205128205
"11","204","ASUNCION",19,7378,257.522363784223
"12","205","BOLOGNESI",77,23797,323.570197924108
"13","206","CARHUAZ",136,45184,300.991501416431
"14","207","CARLOS FERMIN FITZCARRALD",29,17717,163.684596715019
"15","208","CASMA",329,50989,645.23720802526
"16","209","CORONGO",16,7532,212.426978226235
"17","210","HUARI",130,58714,221.412269646081
"18","211","HUARMEY",214,30560,700.261780104712
"19","212","HUAYLAS",203,51334,395.449409747925
"20","213","MARISCAL LUZURIAGA",39,20284,192.269769276277
"21","214","OCROS",23,7039,326.750958943032
"22","215","PALLASCA",61,23491,259.673917670597
"23","216","POMABAMBA",67,24794,270.226667742196
"24","217","RECUAY",68,17185,395.693919115508
"25","218","SANTA",3841,435807,881.353443152588
"26","219","SIHUAS",55,26971,203.922731823069
"27","220","YUNGAY",108,50841,212.426978226235
"28","301","ABANCAY",542,110520,490.408975750995
"29","302","ANDAHUAYLAS",454,142477,318.647922120763
"30","303","ANTABAMBA",39,11310,344.827586206897
"31","304","AYMARAES",94,24307,386.719874933147
"32","305","COTABAMBAS",102,50656,201.358180669615
"33","306","CHINCHEROS",139,45247,307.202687470993
"34","307","GRAU",58,21242,273.043969494398
"35","401","AREQUIPA",7388,1080635,683.672100200345
"36","402","CAMANA",377,59370,635.000842176183
"37","403","CARAVELI",193,41346,466.792434576501
"38","404","CASTILLA",140,33629,416.307353772042
"39","405","CAYLLOMA",442,86771,509.386776688064
"40","406","CONDESUYOS",52,16118,322.620672540017
"41","407","ISLAY",398,52034,764.884498597071
"42","408","LA UNION",30,12827,233.881655882124
"43","501","HUAMANGA",1094,282194,387.676562931884
"44","502","CANGALLO",71,30443,233.222744144795
"45","503","HUANCA SANCOS",16,8409,190.272327268403
"46","504","HUANTA",267,89466,298.437395211589
"47","505","LA MAR",144,70653,203.813001571059
"48","506","LUCANAS",148,51328,288.341645885287
"49","507","PARINACOCHAS",103,27659,372.392349687263
"50","508","PAUCAR DEL SARA SARA",42,9609,437.090227911333
"51","509","SUCRE",28,9445,296.453149814717
"52","510","VICTOR FAJARDO",49,20109,243.671987667214
"53","511","VILCAS HUAMAN",36,16861,213.510467943776
"54","601","CAJAMARCA",1494,348433,428.776838014769
"55","602","CAJABAMBA",179,75687,236.50032370156
"56","603","CELENDIN",181,79084,228.870568003642
"57","604","CHOTA",236,142984,165.053432551894
"58","605","CONTUMAZA",89,27693,321.38085436753
"59","606","CUTERVO",199,120723,164.840171301243
"60","607","HUALGAYOC",168,77944,215.539361592938
"61","608","JAEN",828,185432,446.524871651063
"62","609","SAN IGNACIO",220,130620,168.42749961721
"63","610","SAN MARCOS",111,48103,230.754838575557
"64","611","SAN MIGUEL",101,46043,219.360163325587
"65","612","SAN PABLO",51,21102,241.683252772249
"66","613","SANTA CRUZ",76,37164,204.498977505112
"68","801","CUSCO",2325,447588,519.450923617255
"69","802","ACOMAYO",47,22940,204.882301656495
"70","803","ANTA",213,56206,378.963100024908
"71","804","CALCA",110,63155,174.174649671443
"72","805","CANAS",73,32484,224.726018963182
"73","806","CANCHIS",420,95774,438.532378307265
"74","807","CHUMBIVILCAS",124,66410,186.718867640416
"75","808","ESPINAR",111,57582,192.768573512556
"76","809","LA CONVENCION",464,147148,315.328784625003
"77","810","PARURO",51,25567,199.475886885438
"78","811","PAUCARTAMBO",75,42504,176.453980801807
"79","812","QUISPICANCHI",292,87430,333.981470890998
"80","813","URUBAMBA",190,60739,312.81384283574
"81","901","HUANCAVELICA",505,115054,438.924331183618
"82","902","ACOBAMBA",116,38208,303.601340033501
"83","903","ANGARAES",141,49207,286.54459731339
"84","904","CASTROVIRREYNA",38,13982,271.778000286082
"85","905","CHURCAMPA",59,32538,181.326449074928
