fid,UBIGEO,CODDPTO,NOMBDPTO,CODPROV,NOMBPROV,CODDIST,NOMBDIST,CODCCPP,NOMCCPP,CODZONA,SUFZONA,CODMZNA,SUFMZNA,CIUDAD,IDMANZANA,ID
"1","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"005","00","060",U,CHIMBOTE,02180900500060U,"1"
"2","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"005","00","060",T,CHIMBOTE,02180900500060T,"2"
"3","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"005","00","062",,CHIMBOTE,"02180900500062","3"
"4","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"005","00","060",S,CHIMBOTE,02180900500060S,"4"
"5","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"005","00","060",V,CHIMBOTE,02180900500060V,"5"
"6","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"005","00","060",R,CHIMBOTE,02180900500060R,"6"
"7","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"005","00","061",,CHIMBOTE,"02180900500061","7"
"8","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"005","00","060",Q,CHIMBOTE,02180900500060Q,"8"
"9","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"005","00","060",P,CHIMBOTE,02180900500060P,"9"
"10","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"005","00","060",I,CHIMBOTE,02180900500060I,"10"
"11","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"005","00","060",O,CHIMBOTE,02180900500060O,"11"
"12","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"005","00","060",G,CHIMBOTE,02180900500060G,"12"
"13","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"005","00","060",,CHIMBOTE,"02180900500060","13"
"14","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"005","02","001",,CHIMBOTE,"02180900502001","14"
"15","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"005","02","002",,CHIMBOTE,"02180900502002","15"
"16","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"005","02","003",,CHIMBOTE,"02180900502003","16"
"17","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"005","02","004",,CHIMBOTE,"02180900502004","17"
"18","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"005","02","005",,CHIMBOTE,"02180900502005","18"
"19","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"005","02","006",,CHIMBOTE,"02180900502006","19"
"20","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"005","02","007",,CHIMBOTE,"02180900502007","20"
"21","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"005","02","008",,CHIMBOTE,"02180900502008","21"
"22","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"005","02","009",,CHIMBOTE,"02180900502009","22"
"23","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"005","02","010",,CHIMBOTE,"02180900502010","23"
"24","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"005","02","011",,CHIMBOTE,"02180900502011","24"
"25","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"005","02","012",,CHIMBOTE,"02180900502012","25"
"26","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"005","02","013",,CHIMBOTE,"02180900502013","26"
"27","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"005","02","014",,CHIMBOTE,"02180900502014","27"
"28","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"005","02","016",,CHIMBOTE,"02180900502016","28"
"29","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"005","02","017",,CHIMBOTE,"02180900502017","29"
"30","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"005","02","019",,CHIMBOTE,"02180900502019","30"
"31","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"005","02","020",,CHIMBOTE,"02180900502020","31"
"32","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"005","02","022",,CHIMBOTE,"02180900502022","32"
"33","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"005","02","023",,CHIMBOTE,"02180900502023","33"
"34","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"005","02","024",,CHIMBOTE,"02180900502024","34"
"35","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"005","02","025",,CHIMBOTE,"02180900502025","35"
"36","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"005","02","021",,CHIMBOTE,"02180900502021","36"
"37","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"005","02","018",,CHIMBOTE,"02180900502018","37"
"38","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"005","02","015",,CHIMBOTE,"02180900502015","38"
